yCoordinate,Number,PrimaryThorfare,SeconadryThorfare,Locality,Townland,Town,County,Postcode,xCoordinate
422865,4,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266938
422845,7,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266978
422512,4,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267401
422499,6,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267411
422476,10,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267418
422504,5,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267409
422483,15,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267450
422522,3,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267396
422539,1,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267393
422826,11,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266952
422835,9,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266965
422465,12,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267422
422822,12,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266946
422831,10,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266959
422470,11,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267421
422491,7,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267412
422470,13,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267440
422491,16,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267446
422858,5,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266944
422486,8,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267414
422464,14,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267443
422845,3,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266913
422853,6,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266950
422480,9,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267417
422533,2,DONALD'S WAY,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT490AZ,267395
422839,2,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266919
422833,1,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266924
422840,8,THEIPVAL COURT,NA,NEWTOWN LIMAVADY,NEWTOWN LIMAVADY ALIAS RATHBRADY BEG,LIMAVADY,LONDONDERRY,BT499BY,266972
